"datetime","ipsrc","ipdst","dstport","proto","action","policyid"
"2023-03-07 02:21:05","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:05","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:06","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:07","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:07","192.168.1.87","192.168.1.47","22","TCP","Permit","1"
"2023-03-07 02:21:07","192.168.1.87","192.168.1.47","22","TCP","Permit","1"
"2023-03-07 02:21:09","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:09","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:09","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:09","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:09","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:10","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:12","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:12","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:12","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:12","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:12","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:13","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:13","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:14","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:15","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:15","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:15","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:17","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:17","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:18","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:18","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:19","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:19","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:19","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:21:20","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:20","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:21","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:21","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:22","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:22","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:22","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:21:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:21:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
